'august 14 1733', '1733-08-14'
'25 march 1968', '1968-03-25'
'30 october 1828', '1828-10-30'
'10/26/31', '1531-10-26'
'23 november 2013', '2013-11-23'
'9 may 1781', '1781-05-09'
'1910 5 apr', '1910-04-05'
'3/1/08', '1808-03-01'
'sunday september 13 1778', '1778-09-13'
'aug 26 1908', '1908-08-26'
'3 jun 1646', '1646-06-03'
'sep 29 1954', '1954-09-29'
'1 december 1998', '1998-12-01'
'january 27 1796', '1796-01-27'
'october 20 2070', '2070-10-20'
'fri 1654 13 november', '1654-11-13'
'25 january 1620', '1620-01-25'
'1836 22 aug', '1836-08-22'
'june 11 2035', '2035-06-11'
'apr 5 1866', '1866-04-05'
'monday september 22 1608', '1608-09-22'
'tuesday december 27 2016', '2016-12-27'
'mon 15 jun 1795', '1795-06-15'
'friday august 18 1843', '1843-08-18'
'april 22 2034', '2034-04-22'
'tuesday october 9 1900', '1900-10-09'
'5 august 1649', '1649-08-05'
'29/11/1936', '1936-11-29'
'2058 22 jul', '2058-07-22'
'monday june 11 1860', '1860-06-11'
'aug 14 1730', '1730-08-14'
'march 23 1698', '1698-03-23'
'friday 27 june 1749', '1749-06-27'
'tue 1 nov 1555', '1555-11-01'
'oct 11 1702', '1702-10-11'
'monday january 3 1848', '1848-01-03'
'1667 28 august', '1667-08-28'
'06/10/1541', '1541-10-06'
'22/10/1690', '1690-10-22'
'january 27 2049', '2049-01-27'
'december 29 1608', '1608-12-29'
'march 25 1700', '1700-03-25'
'july 31 1698', '1698-07-31'
'july 19 2037', '2037-07-19'
'fri 2068 7 september', '2068-09-07'
'february 28 1837', '1837-02-28'
'4 august 1968', '1968-08-04'
'14 june 1931', '1931-06-14'
'8 september 1966', '1966-09-08'
'21 june 1626', '1626-06-21'
'october 28 1900', '1900-10-28'
'mon 28 dec 1531', '1531-12-28'
'28 october 1874', '1874-10-28'
'28 june 1951', '1951-06-28'
'21 sep 1939', '1939-09-21'
'july 20 2021', '2021-07-20'
'jan 16 2068', '2068-01-16'
'aug 26 1810', '1810-08-26'
'thursday 2 april 2071', '2071-04-02'
'mar 23 1559', '1559-03-23'
'tuesday july 12 1672', '1672-07-12'
'24 nov 1608', '1608-11-24'
'friday november 17 2023', '2023-11-17'
'12 november 1737', '1737-11-12'
'28 jan 1960', '1960-01-28'
'october 25 1849', '1849-10-25'
'23 january 1923', '1923-01-23'
'november 7 1579', '1579-11-07'
'7/15/71', '1571-07-15'
'december 30 1659', '1659-12-30'
'mar 13 1724', '1724-03-13'
'14 may 1833', '1833-05-14'
'august 1 1980', '1980-08-01'
'18 jan 1610', '1610-01-18'
'july 8 1539', '1539-07-08'
'nov 26 1569', '1569-11-26'
'saturday 19 september 1767', '1767-09-19'
'wednesday 1963 28 08', '1963-08-28'
'18 december 1942', '1942-12-18'
'1628 7 august', '1628-08-07'
'fri 8 feb 1867', '1867-02-08'
'1 september 1965', '1965-09-01'
'mon 1850 19 august', '1850-08-19'
'saturday 1 september 1821', '1821-09-01'
'21 feb 1759', '1759-02-21'
'saturday january 22 1600', '1600-01-22'
'june 7 1975', '1975-06-07'
'august 29 1584', '1584-08-29'
'24 july 1716', '1716-07-24'
'20 june 2000', '2000-06-20'
'11 august 1889', '1889-08-11'
'sunday 11 february 1770', '1770-02-11'
'sat 1731 8 december', '1731-12-08'
'february 19 1840', '1840-02-19'
'14 october 2050', '2050-10-14'
'wednesday 1976 23 06', '1976-06-23'
'22 september 1621', '1621-09-22'
'jun 20 1984', '1984-06-20'
'tuesday june 10 1721', '1721-06-10'
'may 19 1647', '1647-05-19'
'1769 12 february', '1769-02-12'
'2021 3 jul', '2021-07-03'
'sat 28 mar 2015', '2015-03-28'
'1968 4 july', '1968-07-04'
'tuesday february 26 1552', '1552-02-26'
'sep 3 1575', '1575-09-03'
'16 may 1531', '1531-05-16'
'monday october 28 1574', '1574-10-28'
'1690 29 november', '1690-11-29'
'september 5 2032', '2032-09-05'
'november 19 1987', '1987-11-19'
'wednesday february 17 2027', '2027-02-17'
'1833 21 jul', '1833-07-21'
'15 april 1722', '1722-04-15'
'1978 12 mar', '1978-03-12'
'25 march 1867', '1867-03-25'
'sunday 1708 8 07', '1708-07-08'
'10 july 1539', '1539-07-10'
'tuesday 1761 22 12', '1761-12-22'
'march 19 1575', '1575-03-19'
'july 27 1773', '1773-07-27'
'tuesday 2053 13 05', '2053-05-13'
'march 1 1775', '1775-03-01'
'1785 1 march', '1785-03-01'
'27 november 1953', '1953-11-27'
'18/03/1797', '1797-03-18'
'may 18 1704', '1704-05-18'
'tue 25 aug 1716', '1716-08-25'
'30 october 1770', '1770-10-30'
'13 may 1820', '1820-05-13'
'friday march 12 1784', '1784-03-12'
'november 19 1637', '1637-11-19'
'25 january 1789', '1789-01-25'
'wednesday may 5 1706', '1706-05-05'
'25 july 1975', '1975-07-25'
'sunday 19 june 1672', '1672-06-19'
'wednesday january 2 1907', '1907-01-02'
'sun 5 sep 2060', '2060-09-05'
'15 jul 1550', '1550-07-15'
'29 january 1899', '1899-01-29'
'sunday 24 november 1861', '1861-11-24'
'march 6 1773', '1773-03-06'
'thursday january 21 1841', '1841-01-21'
'02/03/1552', '1552-03-02'
'sunday december 9 1917', '1917-12-09'
'14 march 1631', '1631-03-14'
'1845 8 june', '1845-06-08'
'friday april 24 1812', '1812-04-24'
'friday october 27 1939', '1939-10-27'
'jan 8 2001', '2001-01-08'
'11 august 1957', '1957-08-11'
'27 apr 1901', '1901-04-27'
'21 september 1904', '1904-09-21'
'sunday may 29 1803', '1803-05-29'
'11 may 1820', '1820-05-11'
'december 31 2069', '2069-12-31'
'9/23/66', '2066-09-23'
'sep 26 1736', '1736-09-26'
'saturday june 21 1766', '1766-06-21'
'4/15/94', '1594-04-15'
'monday 1772 16 11', '1772-11-16'
'29 january 1599', '1599-01-29'
'mar 16 1562', '1562-03-16'
'february 3 1927', '1927-02-03'
'apr 2 1795', '1795-04-02'
'4/30/60', '2060-04-30'
'july 2 1792', '1792-07-02'
'saturday march 18 1820', '1820-03-18'
'5 may 1744', '1744-05-05'
'august 25 1878', '1878-08-25'
'13 jan 1981', '1981-01-13'
'may 19 1698', '1698-05-19'
'thursday march 6 1569', '1569-03-06'
'october 29 1728', '1728-10-29'
'26 may 1567', '1567-05-26'
'2009 1 may', '2009-05-01'
'1 october 1813', '1813-10-01'
'tuesday june 7 1689', '1689-06-07'
'sunday november 1 1620', '1620-11-01'
'21 november 2036', '2036-11-21'
'saturday january 23 1886', '1886-01-23'
'27 january 1547', '1547-01-27'
'april 23 1693', '1693-04-23'
'1976 19 may', '1976-05-19'
'sunday february 26 1978', '1978-02-26'
'tuesday 24 june 1975', '1975-06-24'
'11/6/09', '1709-11-06'
'26/05/1762', '1762-05-26'
'wed 2 apr 1902', '1902-04-02'
'sunday 2 june 1935', '1935-06-02'
'monday 1988 24 10', '1988-10-24'
'feb 2 1571', '1571-02-02'
'19 january 1956', '1956-01-19'
'11/8/61', '1961-11-08'
'12 july 1830', '1830-07-12'
'december 20 1636', '1636-12-20'
'dec 30 1750', '1750-12-30'
'july 2 1730', '1730-07-02'
'may 3 1796', '1796-05-03'
'28/08/1911', '1911-08-28'
'tuesday october 7 1823', '1823-10-07'
'13 december 1813', '1813-12-13'
'july 7 1893', '1893-07-07'
'thursday 6 july 1567', '1567-07-06'
'april 15 1830', '1830-04-15'
'nov 17 1727', '1727-11-17'
'1562 22 september', '1562-09-22'
'1 september 1754', '1754-09-01'
'7 may 1866', '1866-05-07'
'aug 18 1810', '1810-08-18'
'sat 1563 7 september', '1563-09-07'
'march 8 1846', '1846-03-08'
'29 july 1728', '1728-07-29'
'17/08/1998', '1998-08-17'
'september 15 1935', '1935-09-15'
'thursday 15 march 1923', '1923-03-15'
'23 november 1559', '1559-11-23'
'15 jan 2022', '2022-01-15'
'12 apr 1674', '1674-04-12'
'thursday october 16 1558', '1558-10-16'
'7/25/38', '1738-07-25'
'tuesday june 24 1969', '1969-06-24'
'thursday march 6 1597', '1597-03-06'
'may 9 1942', '1942-05-09'
'1846 13 apr', '1846-04-13'
'tuesday february 4 1783', '1783-02-04'
'1809 4 apr', '1809-04-04'
'jan 27 1547', '1547-01-27'
'april 25 1838', '1838-04-25'
'4 november 1913', '1913-11-04'
'thursday may 15 1952', '1952-05-15'
'sun 1553 20 september', '1553-09-20'
'1995 18 february', '1995-02-18'
'26 november 1569', '1569-11-26'
'2/5/03', '1803-02-05'
'6/12/14', '1914-06-12'
'11 november 1920', '1920-11-11'
'1 sep 1593', '1593-09-01'
'1885 22 september', '1885-09-22'
'1/10/95', '1995-01-10'
'10/05/1790', '1790-05-10'
'1762 17 jun', '1762-06-17'
'mon 21 aug 1606', '1606-08-21'
'friday 1649 26 11', '1649-11-26'
'dec 28 1840', '1840-12-28'
'october 18 1575', '1575-10-18'
'fri 1949 21 january', '1949-01-21'
'sunday 4 august 1557', '1557-08-04'
'6 december 2019', '2019-12-06'
'1738 23 jan', '1738-01-23'
'14 july 1538', '1538-07-14'
'august 3 1522', '1522-08-03'
'april 4 1567', '1567-04-04'
'sunday 1597 23 02', '1597-02-23'
'july 11 1937', '1937-07-11'
'10 june 1651', '1651-06-10'
'dec 6 1682', '1682-12-06'
'apr 28 2001', '2001-04-28'
'25/07/1878', '1878-07-25'
'26 december 1752', '1752-12-26'
'21 september 1638', '1638-09-21'
'monday june 22 1592', '1592-06-22'
'1608 11 nov', '1608-11-11'
'sun 1540 28 july', '1540-07-28'
'tuesday february 22 1689', '1689-02-22'
'jan 27 1698', '1698-01-27'
'1725 8 february', '1725-02-08'
'19 may 1786', '1786-05-19'
'5 november 1819', '1819-11-05'
'january 6 1850', '1850-01-06'
'may 29 1993', '1993-05-29'
'august 17 1848', '1848-08-17'
'february 21 1990', '1990-02-21'
'15 jan 1557', '1557-01-15'
'4 february 1926', '1926-02-04'
'feb 22 1993', '1993-02-22'
'march 12 1832', '1832-03-12'
'sunday february 15 1722', '1722-02-15'
'march 31 1531', '1531-03-31'
'sunday march 17 1619', '1619-03-17'
'sunday february 18 1646', '1646-02-18'
'thursday march 31 1689', '1689-03-31'
'31 may 2037', '2037-05-31'
'jun 28 1927', '1927-06-28'
'thursday 28 august 1524', '1524-08-28'
'sunday march 1 1570', '1570-03-01'
'saturday 1919 26 07', '1919-07-26'
'june 17 1672', '1672-06-17'
'tue 1646 13 february', '1646-02-13'
'tuesday february 13 1816', '1816-02-13'
'2 september 1918', '1918-09-02'
'2/7/58', '1958-02-07'
'september 7 1894', '1894-09-07'
'12 february 1627', '1627-02-12'
'1926 18 jul', '1926-07-18'
'19/04/1926', '1926-04-19'
'14 nov 2013', '2013-11-14'
'wednesday 7 november 1877', '1877-11-07'
'august 7 1980', '1980-08-07'
'12 september 1527', '1527-09-12'
'september 4 1596', '1596-09-04'
'11 jun 1998', '1998-06-11'
'1833 2 march', '1833-03-02'
'6/12/62', '1762-06-12'
'sunday february 7 1706', '1706-02-07'
'6 september 1813', '1813-09-06'
'tuesday august 2 1712', '1712-08-02'
'thursday 20 march 1986', '1986-03-20'
'april 11 1936', '1936-04-11'
'apr 16 1832', '1832-04-16'
'nov 24 1681', '1681-11-24'
'15 september 1998', '1998-09-15'
'june 27 1568', '1568-06-27'
'11/6/93', '1593-11-06'
'thursday 12 july 1657', '1657-07-12'
'thursday 1605 1 12', '1605-12-01'
'monday 1919 13 01', '1919-01-13'
'apr 25 1947', '1947-04-25'
'22/04/1786', '1786-04-22'
'1591 20 july', '1591-07-20'
'12/01/1873', '1873-01-12'
'14 oct 2035', '2035-10-14'
'tuesday november 2 1982', '1982-11-02'
'friday january 2 1959', '1959-01-02'
'september 14 1859', '1859-09-14'
'oct 30 1692', '1692-10-30'
'apr 17 1637', '1637-04-17'
'may 29 1723', '1723-05-29'
'28 january 1884', '1884-01-28'
'25 dec 1900', '1900-12-25'
'tue 1675 3 december', '1675-12-03'
'20 july 1720', '1720-07-20'
'thu 1837 14 september', '1837-09-14'
'wednesday september 6 1606', '1606-09-06'
'12/8/74', '1674-12-08'
'apr 8 2033', '2033-04-08'
'16/10/1721', '1721-10-16'
'march 2 1755', '1755-03-02'
'sun 2019 10 march', '2019-03-10'
'sunday 4 december 2039', '2039-12-04'
'19 february 1681', '1681-02-19'
'sun 7 jul 1709', '1709-07-07'
'3 july 1858', '1858-07-03'
'thursday 23 february 1989', '1989-02-23'
'tuesday february 21 1899', '1899-02-21'
'8 february 1812', '1812-02-08'
'mar 2 1578', '1578-03-02'
'19 july 2041', '2041-07-19'
'september 9 1623', '1623-09-09'
'wednesday 1607 24 01', '1607-01-24'
'friday november 24 1550', '1550-11-24'
'january 9 1910', '1910-01-09'
'dec 11 1611', '1611-12-11'
'11 april 2063', '2063-04-11'
'dec 26 1871', '1871-12-26'
'22 december 1884', '1884-12-22'
'wednesday october 7 1818', '1818-10-07'
'2 december 1746', '1746-12-02'
'jan 12 1818', '1818-01-12'
'jan 24 2029', '2029-01-24'
'24 march 1852', '1852-03-24'
'fri 30 sep 1938', '1938-09-30'
'november 10 1902', '1902-11-10'
'1687 26 september', '1687-09-26'
'oct 28 1644', '1644-10-28'
'july 28 2009', '2009-07-28'
'february 13 1758', '1758-02-13'
'7/22/49', '1949-07-22'
'1666 14 apr', '1666-04-14'
'november 27 2043', '2043-11-27'
'12 may 1819', '1819-05-12'
'tuesday june 11 1839', '1839-06-11'
'jan 13 1561', '1561-01-13'
'23 october 1531', '1531-10-23'
'mar 2 1657', '1657-03-02'
'tuesday 3 june 1524', '1524-06-03'
'february 13 1905', '1905-02-13'
'jul 13 1556', '1556-07-13'
'1850 10 apr', '1850-04-10'
'oct 13 1719', '1719-10-13'
'wednesday 2 november 1791', '1791-11-02'
'18 july 1548', '1548-07-18'
'friday february 7 1992', '1992-02-07'
'1 november 1641', '1641-11-01'
'october 12 1524', '1524-10-12'
'november 4 1959', '1959-11-04'
'16 august 2039', '2039-08-16'
'june 8 2043', '2043-06-08'
'30/10/1699', '1699-10-30'
'friday 1984 13 01', '1984-01-13'
'wednesday 1655 24 03', '1655-03-24'
'14 jan 1984', '1984-01-14'
'january 18 1942', '1942-01-18'
'july 27 1704', '1704-07-27'
'1903 15 october', '1903-10-15'
'10 april 1577', '1577-04-10'
'7 apr 1764', '1764-04-07'
'september 19 1977', '1977-09-19'
'19/03/1768', '1768-03-19'
'14 oct 1732', '1732-10-14'
'sat 8 dec 1714', '1714-12-08'
'1623 12 february', '1623-02-12'
'25 july 1941', '1941-07-25'
'1574 12 jul', '1574-07-12'
'wednesday 1562 24 01', '1562-01-24'
'apr 25 1980', '1980-04-25'
'apr 10 1758', '1758-04-10'
'march 28 1638', '1638-03-28'
'may 9 1744', '1744-05-09'
'25 june 1639', '1639-06-25'
'10 september 1552', '1552-09-10'
'sunday 9 march 1569', '1569-03-09'
'august 21 1836', '1836-08-21'
'10/06/1951', '1951-06-10'
'november 14 2063', '2063-11-14'
'12/04/2027', '2027-04-12'
'22 february 1827', '1827-02-22'
'january 9 1578', '1578-01-09'
'1 november 1646', '1646-11-01'
'june 1 1664', '1664-06-01'
'march 17 1562', '1562-03-17'
'tuesday 9 september 1608', '1608-09-09'
'14 april 2006', '2006-04-14'
'24 july 1765', '1765-07-24'
'19/04/1935', '1935-04-19'
'mon 4 aug 2064', '2064-08-04'
'november 19 1604', '1604-11-19'
'january 1 1733', '1733-01-01'
'11 august 1787', '1787-08-11'
'saturday january 9 1796', '1796-01-09'
'4 dec 1699', '1699-12-04'
'friday december 23 1904', '1904-12-23'
'november 8 1802', '1802-11-08'
'may 31 1755', '1755-05-31'
'october 15 1934', '1934-10-15'
'mar 17 1758', '1758-03-17'
'wednesday may 24 1775', '1775-05-24'
'aug 5 1631', '1631-08-05'
'march 4 1733', '1733-03-04'
'jan 4 1582', '1582-01-04'
'28 march 2002', '2002-03-28'
'tuesday 20 october 1931', '1931-10-20'
'saturday 1580 15 11', '1580-11-15'
'dec 16 1704', '1704-12-16'
'thursday october 8 1936', '1936-10-08'
'29 april 1604', '1604-04-29'
'sunday february 1 1699', '1699-02-01'
'1615 6 february', '1615-02-06'
'november 26 1675', '1675-11-26'
'saturday 10 march 2001', '2001-03-10'
'1984 18 jul', '1984-07-18'
'10 december 1668', '1668-12-10'
'december 31 1897', '1897-12-31'
'wednesday 9 may 1979', '1979-05-09'
'august 1 1606', '1606-08-01'
'june 23 1936', '1936-06-23'
'5 august 1956', '1956-08-05'
'monday october 31 1695', '1695-10-31'
'22 september 1560', '1560-09-22'
'december 20 1919', '1919-12-20'
'saturday october 19 1680', '1680-10-19'
'6 dec 1530', '1530-12-06'
'7 may 2028', '2028-05-07'
'friday february 27 1615', '1615-02-27'
'monday 1829 15 06', '1829-06-15'
'november 17 1600', '1600-11-17'
'25 nov 2067', '2067-11-25'
'apr 10 1601', '1601-04-10'
'wednesday 31 january 1906', '1906-01-31'
'sunday 1967 19 03', '1967-03-19'
'june 7 1682', '1682-06-07'
'15 january 1891', '1891-01-15'
'23 jan 1908', '1908-01-23'
'wed 1637 1 july', '1637-07-01'
'14 april 1766', '1766-04-14'
'1946 12 oct', '1946-10-12'
'march 27 1743', '1743-03-27'
'monday 1662 2 01', '1662-01-02'
'02/08/1676', '1676-08-02'
'friday july 20 1528', '1528-07-20'
'november 23 1821', '1821-11-23'
'4 july 1577', '1577-07-04'
'january 28 1653', '1653-01-28'
'friday 2 september 1644', '1644-09-02'
'3 september 2058', '2058-09-03'
'august 8 1545', '1545-08-08'
'june 3 2019', '2019-06-03'
'2/15/51', '1751-02-15'
'1626 1 aug', '1626-08-01'
'2/3/28', '1528-02-03'
'wed 6 jul 1988', '1988-07-06'
'sep 18 1770', '1770-09-18'
'tue 2056 26 december', '2056-12-26'
'1963 3 apr', '1963-04-03'
'wednesday february 24 1965', '1965-02-24'
'mon 6 apr 1874', '1874-04-06'
'wednesday october 11 1797', '1797-10-11'
'october 20 1588', '1588-10-20'
'fri 1646 12 october', '1646-10-12'
'sun 2002 20 january', '2002-01-20'
'10 october 1883', '1883-10-10'
'saturday january 15 1949', '1949-01-15'
'18/02/1753', '1753-02-18'
'sunday 12 november 1775', '1775-11-12'
'friday 1972 29 12', '1972-12-29'
'19 january 1732', '1732-01-19'
'23 february 1790', '1790-02-23'
'1792 8 sep', '1792-09-08'
'monday february 2 1705', '1705-02-02'
'24 april 1766', '1766-04-24'
'jul 2 1701', '1701-07-02'
'2043 9 june', '2043-06-09'
'5/3/04', '1904-05-03'
'nov 12 1979', '1979-11-12'
'12 july 2028', '2028-07-12'
'tuesday november 14 1600', '1600-11-14'
'1718 24 feb', '1718-02-24'
'friday 1623 13 10', '1623-10-13'
'monday august 23 1582', '1582-08-23'
'oct 22 2058', '2058-10-22'
'2029 22 february', '2029-02-22'
'april 17 2040', '2040-04-17'
'1673 8 dec', '1673-12-08'
'friday december 19 1738', '1738-12-19'
'8/25/81', '1581-08-25'
'sat 1695 3 september', '1695-09-03'
'9 january 2023', '2023-01-09'
'22 december 1920', '1920-12-22'
'april 28 1948', '1948-04-28'
'january 6 1778', '1778-01-06'
'14 january 1808', '1808-01-14'
'18 march 1656', '1656-03-18'
'jul 16 1911', '1911-07-16'
'3/14/72', '1972-03-14'
'sun 1655 18 april', '1655-04-18'
'3/16/36', '1836-03-16'
'april 18 1572', '1572-04-18'
'1900 20 jun', '1900-06-20'
'31/08/2028', '2028-08-31'
'2 june 1947', '1947-06-02'
'may 19 1779', '1779-05-19'
'may 9 1866', '1866-05-09'
'tue 17 sep 1968', '1968-09-17'
'monday august 4 1664', '1664-08-04'
'december 26 1605', '1605-12-26'
'27/07/1763', '1763-07-27'
'31 october 1719', '1719-10-31'
'wednesday december 12 1562', '1562-12-12'
'tue 17 jul 1973', '1973-07-17'
'april 23 1529', '1529-04-23'
'july 26 1931', '1931-07-26'
'9 november 1571', '1571-11-09'
'august 23 1647', '1647-08-23'
'4 august 1932', '1932-08-04'
'30 august 1767', '1767-08-30'
'20 march 1770', '1770-03-20'
'monday march 4 1658', '1658-03-04'
'sat 1925 26 december', '1925-12-26'
'friday 19 january 1607', '1607-01-19'
'february 22 1964', '1964-02-22'
'jul 23 1865', '1865-07-23'
'february 15 1693', '1693-02-15'
'13 may 1916', '1916-05-13'
'20 december 1922', '1922-12-20'
'7 october 1829', '1829-10-07'
'june 19 1742', '1742-06-19'
'aug 20 1872', '1872-08-20'
'may 20 1694', '1694-05-20'
'april 18 2047', '2047-04-18'
'july 23 1751', '1751-07-23'
'nov 2 1730', '1730-11-02'
'january 11 1770', '1770-01-11'
'jan 27 1917', '1917-01-27'
'aug 17 1831', '1831-08-17'
'15 september 1807', '1807-09-15'
'tue 2032 30 december', '2031-12-30'
'february 4 1725', '1725-02-04'
'24 may 1660', '1660-05-24'
'2/14/11', '1911-02-14'
'sunday 1609 31 05', '1609-05-31'
'wed 3 mar 1537', '1537-03-03'
'dec 13 1740', '1740-12-13'
'august 11 1863', '1863-08-11'
'3 feb 1940', '1940-02-03'
'monday 6 may 1799', '1799-05-06'
'1749 26 feb', '1749-02-26'
'march 14 1788', '1788-03-14'
'mar 14 1668', '1668-03-14'
'saturday august 1 1536', '1536-08-01'
'sun 14 nov 1706', '1706-11-14'
'tuesday july 26 1678', '1678-07-26'
'may 30 1914', '1914-05-30'
'wed 13 aug 1670', '1670-08-13'
'october 20 1531', '1531-10-20'
'may 11 1712', '1712-05-11'
'sat 29 oct 1988', '1988-10-29'
'1648 1 aug', '1648-08-01'
'may 12 1725', '1725-05-12'
'march 5 1681', '1681-03-05'
'1730 4 jun', '1730-06-04'
'may 28 1554', '1554-05-28'
'19 july 1847', '1847-07-19'
'9 november 1563', '1563-11-09'
'1 aug 1789', '1789-08-01'
'1 july 1805', '1805-07-01'
'13 february 1855', '1855-02-13'
'january 16 1657', '1657-01-16'
'oct 12 1947', '1947-10-12'
'31 august 1803', '1803-08-31'
'nov 27 1651', '1651-11-27'
'august 30 1835', '1835-08-30'
'1692 15 july', '1692-07-15'
'monday february 8 1582', '1582-02-08'
'sunday april 2 1730', '1730-04-02'
'december 5 1815', '1815-12-05'
'18 february 2063', '2063-02-18'
